1,PD000001,"プレゼント用Shop Point",友達にSPをプレゼントできます,友達へのお祝いに！,0,0,0
589,PD320222,女映画制服ボトム,女生徒用　女映画制服ボトムを30日間利用できます,365日間利用可能,2,0,20365
590,PD320223,女映画制服履き物,女生徒用　女映画制服履き物を30日間利用できます,1日間利用可能,2,0,20001
591,PD320223,女映画制服履き物,女生徒用　女映画制服履き物を30日間利用できます,3日間利用可能,2,0,20003
592,PD320223,女映画制服履き物,女生徒用　女映画制服履き物を30日間利用できます,7日間利用可能,2,0,20007
593,PD320223,女映画制服履き物,女生徒用　女映画制服履き物を30日間利用できます,30日間利用可能,2,0,20030
594,PD320223,女映画制服履き物,女生徒用　女映画制服履き物を30日間利用できます,90日間利用可能,2,0,20090
595,PD320223,女映画制服履き物,女生徒用　女映画制服履き物を30日間利用できます,180日間利用可能,2,0,20180
596,PD320223,女映画制服履き物,女生徒用　女映画制服履き物を30日間利用できます,365日間利用可能,2,0,20365
597,PD310191,アロハシャツ・オレンジ,男子生徒用　アロハシャツ・オレンジを30日間利用できます,1日間利用可能,1,0,20001
598,PD310191,アロハシャツ・オレンジ,男子生徒用　アロハシャツ・オレンジを30日間利用できます,3日間利用可能,1,0,20003
599,PD310191,アロハシャツ・オレンジ,男子生徒用　アロハシャツ・オレンジを30日間利用できます,7日間利用可能,1,0,20007
600,PD310191,アロハシャツ・オレンジ,男子生徒用　アロハシャツ・オレンジを30日間利用できます,30日間利用可能,1,0,20030
601,PD310191,アロハシャツ・オレンジ,男子生徒用　アロハシャツ・オレンジを30日間利用できます,90日間利用可能,1,0,20090
602,PD310191,アロハシャツ・オレンジ,男子生徒用　アロハシャツ・オレンジを30日間利用できます,180日間利用可能,1,0,20180
603,PD310191,アロハシャツ・オレンジ,男子生徒用　アロハシャツ・オレンジを30日間利用できます,365日間利用可能,1,0,20365
604,PD310192,クロップパンツ・ブルー,男子生徒用　クロップパンツ・ブルーを30日間利用できます,1日間利用可能,1,0,20001
605,PD310192,クロップパンツ・ブルー,男子生徒用　クロップパンツ・ブルーを30日間利用できます,3日間利用可能,1,0,20003
606,PD310192,クロップパンツ・ブルー,男子生徒用　クロップパンツ・ブルーを30日間利用できます,7日間利用可能,1,0,20007
607,PD310192,クロップパンツ・ブルー,男子生徒用　クロップパンツ・ブルーを30日間利用できます,30日間利用可能,1,0,20030
608,PD310192,クロップパンツ・ブルー,男子生徒用　クロップパンツ・ブルーを30日間利用できます,90日間利用可能,1,0,20090
609,PD310192,クロップパンツ・ブルー,男子生徒用　クロップパンツ・ブルーを30日間利用できます,180日間利用可能,1,0,20180
610,PD310192,クロップパンツ・ブルー,男子生徒用　クロップパンツ・ブルーを30日間利用できます,365日間利用可能,1,0,20365
611,PD310193,ビーチサンダル・ブラウン,男子生徒用　ビーチサンダル・ブラウンを30日間利用できます,1日間利用可能,1,0,20001
612,PD310193,ビーチサンダル・ブラウン,男子生徒用　ビーチサンダル・ブラウンを30日間利用できます,3日間利用可能,1,0,20003
613,PD310193,ビーチサンダル・ブラウン,男子生徒用　ビーチサンダル・ブラウンを30日間利用できます,7日間利用可能,1,0,20007
614,PD310193,ビーチサンダル・ブラウン,男子生徒用　ビーチサンダル・ブラウンを30日間利用できます,30日間利用可能,1,0,20030
615,PD310193,ビーチサンダル・ブラウン,男子生徒用　ビーチサンダル・ブラウンを30日間利用できます,90日間利用可能,1,0,20090
616,PD310193,ビーチサンダル・ブラウン,男子生徒用　ビーチサンダル・ブラウンを30日間利用できます,180日間利用可能,1,0,20180
617,PD310193,ビーチサンダル・ブラウン,男子生徒用　ビーチサンダル・ブラウンを30日間利用できます,365日間利用可能,1,0,20365
618,PD310194,サングラス・オレンジ,男子生徒用　サングラス・オレンジを30日間利用できます,1日間利用可能,1,0,20001
619,PD310194,サングラス・オレンジ,男子生徒用　サングラス・オレンジを30日間利用できます,3日間利用可能,1,0,20003
620,PD310194,サングラス・オレンジ,男子生徒用　サングラス・オレンジを30日間利用できます,7日間利用可能,1,0,20007
621,PD310194,サングラス・オレンジ,男子生徒用　サングラス・オレンジを30日間利用できます,30日間利用可能,1,0,20030
622,PD310194,サングラス・オレンジ,男子生徒用　サングラス・オレンジを30日間利用できます,90日間利用可能,1,0,20090
623,PD310194,サングラス・オレンジ,男子生徒用　サングラス・オレンジを30日間利用できます,180日間利用可能,1,0,20180
624,PD310194,サングラス・オレンジ,男子生徒用　サングラス・オレンジを30日間利用できます,365日間利用可能,1,0,20365
625,PD310201,アロハシャツ・レッド,男子生徒用　アロハシャツ・レッドを30日間利用できます,1日間利用可能,1,0,20001
626,PD310201,アロハシャツ・レッド,男子生徒用　アロハシャツ・レッドを30日間利用できます,3日間利用可能,1,0,20003
627,PD310201,アロハシャツ・レッド,男子生徒用　アロハシャツ・レッドを30日間利用できます,7日間利用可能,1,0,20007
628,PD310201,アロハシャツ・レッド,男子生徒用　アロハシャツ・レッドを30日間利用できます,30日間利用可能,1,0,20030
629,PD310201,アロハシャツ・レッド,男子生徒用　アロハシャツ・レッドを30日間利用できます,90日間利用可能,1,0,20090
630,PD310201,アロハシャツ・レッド,男子生徒用　アロハシャツ・レッドを30日間利用できます,180日間利用可能,1,0,20180
631,PD310201,アロハシャツ・レッド,男子生徒用　アロハシャツ・レッドを30日間利用できます,365日間利用可能,1,0,20365
632,PD310202,クロップパンツ・グリーン,男子生徒用　クロップパンツ・グリーンを30日間利用できます,1日間利用可能,1,0,20001
633,PD310202,クロップパンツ・グリーン,男子生徒用　クロップパンツ・グリーンを30日間利用できます,3日間利用可能,1,0,20003
634,PD310202,クロップパンツ・グリーン,男子生徒用　クロップパンツ・グリーンを30日間利用できます,7日間利用可能,1,0,20007
635,PD310202,クロップパンツ・グリーン,男子生徒用　クロップパンツ・グリーンを30日間利用できます,30日間利用可能,1,0,20030
636,PD310202,クロップパンツ・グリーン,男子生徒用　クロップパンツ・グリーンを30日間利用できます,90日間利用可能,1,0,20090
637,PD310202,クロップパンツ・グリーン,男子生徒用　クロップパンツ・グリーンを30日間利用できます,180日間利用可能,1,0,20180
638,PD310202,クロップパンツ・グリーン,男子生徒用　クロップパンツ・グリーンを30日間利用できます,365日間利用可能,1,0,20365
639,PD310203,ビーチサンダル・ブルー,男子生徒用　ビーチサンダル・ブルーを30日間利用できます,1日間利用可能,1,0,20001
640,PD310203,ビーチサンダル・ブルー,男子生徒用　ビーチサンダル・ブルーを30日間利用できます,3日間利用可能,1,0,20003
641,PD310203,ビーチサンダル・ブルー,男子生徒用　ビーチサンダル・ブルーを30日間利用できます,7日間利用可能,1,0,20007
642,PD310203,ビーチサンダル・ブルー,男子生徒用　ビーチサンダル・ブルーを30日間利用できます,30日間利用可能,1,0,20030
643,PD310203,ビーチサンダル・ブルー,男子生徒用　ビーチサンダル・ブルーを30日間利用できます,90日間利用可能,1,0,20090
644,PD310203,ビーチサンダル・ブルー,男子生徒用　ビーチサンダル・ブルーを30日間利用できます,180日間利用可能,1,0,20180
645,PD310203,ビーチサンダル・ブルー,男子生徒用　ビーチサンダル・ブルーを30日間利用できます,365日間利用可能,1,0,20365
646,PD310204,サングラス・ブルー,男子生徒用　サングラス・ブルーを30日間利用できます,1日間利用可能,1,0,20001
647,PD310204,サングラス・ブルー,男子生徒用　サングラス・ブルーを30日間利用できます,3日間利用可能,1,0,20003
648,PD310204,サングラス・ブルー,男子生徒用　サングラス・ブルーを30日間利用できます,7日間利用可能,1,0,20007
649,PD310204,サングラス・ブルー,男子生徒用　サングラス・ブルーを30日間利用できます,30日間利用可能,1,0,20030
650,PD310204,サングラス・ブルー,男子生徒用　サングラス・ブルーを30日間利用できます,90日間利用可能,1,0,20090
651,PD310204,サングラス・ブルー,男子生徒用　サングラス・ブルーを30日間利用できます,180日間利用可能,1,0,20180
652,PD310204,サングラス・ブルー,男子生徒用　サングラス・ブルーを30日間利用できます,365日間利用可能,1,0,20365
